0.977,0.749
0.932,0.365
0.756,0.083
0.289,0.105
0.886,0.162
0.053,0.439
0.561,0.096
0.674,0.057
0.768,0.069
0.225,0.086
0.915,0.259
0.025,0.551
0.815,0.039
0.559,0.095
0.219,0.058
1.000,0.933
0.139,0.144
0.376,0.070
0.917,0.312
0.536,0.069
0.666,0.104
0.451,0.096
0.833,0.124
0.209,0.083
0.406,0.079
0.516,0.056
0.851,0.167
0.359,0.081
0.275,0.101
0.673,0.076
0.803,0.075
0.923,0.325
0.598,0.088
0.694,0.129
0.322,0.076
0.177,0.148
0.853,0.146
0.098,0.176
0.301,0.104
0.735,0.054
0.551,0.018
0.633,0.088
0.411,0.085
0.122,0.135
0.386,0.083
0.302,0.078
0.065,0.353
0.659,0.015
0.159,0.143
0.947,0.391
0.349,0.099
0.461,0.060
0.741,0.081
0.082,0.284
0.586,0.049
0.038,0.524
0.422,0.023
0.968,0.653
0.858,0.154
0.204,0.088
0.179,0.100
0.169,0.071
0.531,0.072
0.357,0.074
0.920,0.323
0.997,1.000
0.207,0.127
0.134,0.186
0.324,0.094
0.760,0.045
0.716,0.025
0.254,0.046
0.217,0.131
0.022,0.653
0.282,0.058
0.766,0.069
0.973,0.714
0.856,0.164
0.342,0.077
0.295,0.024
0.703,0.045
0.883,0.162
0.568,0.068
0.678,0.099
0.057,0.392
0.003,0.875
0.963,0.578
0.200,0.111
0.222,0.088
0.896,0.224
0.321,0.082
0.606,0.070
0.504,0.092
0.175,0.076
0.102,0.192
0.247,0.080
0.214,0.098
0.838,0.131
0.362,0.044
0.097,0.219
0.075,0.275
0.898,0.211
0.205,0.070
0.855,0.136
0.776,0.107
0.346,0.058
0.975,0.735
0.290,0.108
0.092,0.228
0.127,0.130
0.417,0.067
0.371,0.082
0.144,0.156
0.711,0.061
0.840,0.139
0.068,0.287
0.442,0.070
0.037,0.515
0.189,0.023
0.596,0.107
0.472,0.102
0.262,0.050
0.648,0.064
0.170,0.099
0.052,0.416
0.431,0.068
0.806,0.106
0.990,0.851
0.391,0.095
0.234,0.062
0.172,0.084
0.311,0.055
0.145,0.108
0.957,0.516
0.786,0.114
0.761,0.119
0.780,0.066
0.820,0.089
0.571,0.067
0.524,0.056
0.160,0.084
0.492,0.041
0.698,0.053
0.579,0.098
0.644,0.086
0.693,0.089
0.876,0.194
0.753,0.012
0.474,0.042
0.366,0.062
0.326,0.058
0.224,0.044
0.534,0.028
0.624,0.039
0.088,0.204
0.843,0.129
0.713,0.144
0.120,0.151
0.130,0.145
0.793,0.079
0.708,0.057
0.818,0.071
0.462,0.029
0.240,0.085
0.085,0.283
0.569,0.093
0.721,0.093
0.518,0.061
0.987,0.840
0.147,0.126
0.743,0.076
0.601,0.107
0.027,0.592
0.970,0.659
0.564,0.074
0.142,0.134
0.447,0.092
0.467,0.096
0.501,0.053
0.110,0.206
0.871,0.116
0.424,0.066
0.469,0.063
0.589,0.125
0.584,0.072
0.174,0.113
0.723,0.117
0.549,0.089
0.656,0.076
0.746,0.090
0.705,0.140
0.117,0.167
0.609,0.106
0.124,0.146
0.728,0.088
0.436,0.076
0.681,0.089
0.573,0.061
0.284,0.100
0.382,0.096
0.808,0.134
0.594,0.103
0.073,0.284
0.773,0.066
0.980,0.779
0.870,0.161
0.427,0.041
0.583,0.051
0.316,0.075
0.651,0.054
0.621,0.049
0.456,0.145
0.796,0.084
0.336,0.102
0.626,0.087
0.235,0.096
0.259,0.124
0.497,0.069
0.653,0.130
0.608,0.102
0.978,0.746
0.541,0.096
