0.514,0.593,0.484
0.604,0.688,0.599
0.831,0.685,0.839
0.693,0.318,0.485
0.244,0.449,0.440
0.472,0.311,0.381
0.557,0.644,0.457
0.243,0.535,0.385
0.696,0.733,0.740
0.719,0.568,0.964
0.346,0.486,0.271
0.731,0.501,0.733
0.169,0.503,0.174
0.610,0.831,0.658
0.585,0.586,0.683
0.676,0.663,0.746
0.675,0.224,0.604
0.794,0.372,0.610
0.495,0.421,0.482
0.270,0.527,0.324
0.429,0.376,0.375
0.559,0.498,0.483
0.824,0.308,0.645
0.861,0.462,0.716
0.680,0.305,0.608
0.647,0.321,0.334
0.657,0.763,0.879
0.494,0.859,0.721
0.602,0.565,0.650
0.505,0.703,0.881
0.506,0.511,0.430
0.353,0.820,0.557
0.424,0.375,0.329
0.528,0.588,0.431
0.762,0.667,0.703
0.865,0.213,0.703
0.623,0.383,0.500
0.543,0.650,0.537
0.641,0.427,0.566
0.288,0.280,0.524
0.671,0.665,0.733
0.114,0.125,0.000
0.565,0.410,0.443
0.495,0.875,0.836
0.455,0.315,0.468
0.577,0.290,0.380
0.358,0.808,0.668
0.513,0.633,0.497
0.770,0.647,0.666
0.446,0.601,0.495
0.593,0.465,0.461
0.500,0.376,0.544
0.356,0.738,0.698
0.607,0.627,0.641
0.451,0.394,0.664
0.682,0.408,0.659
0.515,0.560,0.885
0.568,0.683,0.683
0.712,0.690,0.778
0.633,0.839,0.804
0.704,0.646,0.837
0.860,0.632,0.949
0.396,0.426,0.523
0.401,0.273,0.516
0.416,0.654,0.692
0.594,0.347,0.422
0.395,0.588,0.444
0.524,0.474,0.289
0.616,0.479,0.707
0.683,0.661,0.579
0.621,0.432,0.595
0.455,0.671,0.434
0.777,0.777,0.770
0.424,0.474,0.540
0.580,0.645,0.565
0.555,0.189,0.317
0.472,0.342,0.377
0.520,0.425,0.520
0.237,0.587,0.466
0.439,0.472,0.650
